,relative_humidity_2m
1335,27.126186
1336,24.202646
1337,22.56476
1338,26.667423
1339,29.979555
1340,37.4622
1341,59.283573
1342,68.36294
1343,73.81321
1344,79.9281
1345,84.33842
1346,88.98379
1347,93.33634
1348,94.74326
1349,93.615456
1350,93.33395
1351,91.12417
1352,87.39139
1353,70.77223
1354,60.279133
1355,47.448174
1356,40.28542
1357,31.531662
1358,28.349289
1359,26.947392
1360,26.504286
1361,26.399435
1362,32.05168
1363,31.963604
1364,36.14131
1365,34.41896
1366,51.00821
1367,70.47423
1368,78.05487
1369,79.197685
1370,83.05015
1371,86.86489
1372,89.5143
1373,86.63524
1374,83.841354
1375,83.33624
1376,79.034195
1377,70.89965
1378,60.18608
1379,52.02254
1380,49.75408
1381,41.384586
1382,35.984135
1383,33.771935
1384,32.69831
1385,33.186897
1386,36.21392
1387,36.575703
1388,34.69456
1389,36.402576
1390,66.83681
1391,73.2716
1392,76.76017
1393,79.287125
1394,82.38178
1395,85.625465
1396,87.69444
1397,86.407326
1398,83.375916
1399,82.64248
1400,77.22523
1401,69.13214
1402,68.00529
1403,61.202545
1404,49.477287
1405,39.579876
1406,35.895897
1407,37.908566
1408,60.92372
1409,64.85498
1410,67.17933
1411,77.25492
1412,90.14302
1413,93.12777
1414,94.235275
1415,95.63739
1416,88.24007
1417,89.80978
1418,91.41774
1419,92.5073
1420,93.33395
1421,93.33149
1422,92.77571
1423,87.66864
1424,83.61085
1425,74.52857
1426,63.065823
1427,53.754528
1428,43.726025
1429,33.33629
1430,28.9264
1431,27.700983
1432,27.772884
1433,32.620083
1434,35.04913
1435,36.38252
1436,39.31845
1437,38.69164
1438,45.689114
1439,61.32439
1440,70.11898
1441,78.083725
1442,82.880356
1443,86.91052
1444,90.07304
1445,90.89197
1446,90.36131
1447,87.988106
1448,84.17082
1449,72.015854
1450,58.729164
1451,48.639603
1452,42.327545
1453,31.52391
1454,28.05058
1455,26.753098
1456,26.733982
1457,27.282598
1458,31.442385
1459,52.377594
1460,54.684128
1461,64.06325
1462,70.7762
1463,77.067184
1464,81.00382
1465,83.182106
1466,83.677666
1467,84.65672
1468,84.39731
1469,83.890945
1470,84.132935
1471,84.37058
1472,77.913
1473,68.677
1474,59.02964
1475,51.747974
1476,49.364532
1477,42.74092
1478,41.385242
1479,41.962772
1480,38.82152
1481,53.655445
1482,53.568535
1483,65.490295
1484,59.785896
1485,69.80483
1486,73.169624
1487,76.72232
1488,84.43994
1489,84.69867
1490,86.463715
1491,88.78704
1492,89.83853
1493,89.83497
1494,92.536835
1495,91.716774
1496,83.19348
1497,71.626595
1498,61.2097
1499,57.516163
1500,56.786983
1501,47.219364
1502,39.6753
1503,37.082928
1504,73.42352
1505,70.21151
1506,71.44657
1507,74.62619
1508,76.604614
1509,78.63531
1510,80.249725
1511,81.68202
1512,87.975494
1513,90.35793
1514,93.36036
1515,95.04514
1516,96.76284
1517,92.80685
1518,91.433044
1519,90.619446
1520,85.14144
1521,75.223495
1522,64.042076
1523,55.74788
1524,51.288673
1525,48.336967
1526,47.88244
1527,47.70992
1528,44.910633
1529,45.41272
1530,90.92104
1531,94.769966
1532,96.77355
1533,98.22665
1534,99.70153
1535,97.05437
1536,82.45897
1537,85.68482
1538,88.77524
1539,92.26534
1540,93.64769
1541,93.64998
1542,91.99207
1543,91.17464
1544,85.67988
1545,76.38189
1546,66.9866
1547,58.135494
1548,57.90083
1549,55.229992
1550,56.50251
1551,53.698704
1552,59.30148
1553,55.16935
1554,67.04015
1555,81.71279
1556,86.473076
1557,92.56619
1558,89.05722
1559,90.90814
1560,91.73155
1561,93.64998
1562,94.199715
1563,95.03969
1564,93.35077
1565,92.5073
1566,92.21805
1567,90.576
1568,86.360115
1569,78.076515
1570,66.856804
1571,60.749794
1572,52.676785
1573,48.925735
1574,46.787888
1575,47.77807
1576,45.293335
1577,71.44657
1578,92.04626
1579,95.362724
1580,95.64693
1581,93.66143
1582,93.92856
1583,95.04689
1584,96.47573
1585,97.63385
1586,97.63034
1587,97.625946
1588,97.9177
1589,98.21146
1590,98.50761
1591,95.60221
1592,88.46896
1593,76.07489
1594,66.08989
1595,61.228615
1596,59.28655
1597,58.125374
1598,55.968163
1599,54.757652
1600,51.362286
1601,51.217327
1602,66.08291
1603,59.191082
1604,71.00621
1605,78.11252
1606,82.139534
1607,85.36778
1608,87.203766
1609,88.76735
1610,91.16522
1611,92.52882
1612,91.433044
1613,89.53281
1614,91.13366
1615,89.25621
1616,85.372795
1617,73.442604
1618,63.429092
1619,54.582287
1620,52.962963
1621,48.362896
1622,45.991386
1623,55.228233
1624,45.621246
1625,48.529144
1626,63.80536
1627,73.2716
1628,76.797935
1629,76.77526
1630,80.021416
1631,83.14207
1632,79.99481
1633,81.92243
1634,84.14379
1635,85.66014
1636,86.166855
1637,87.45719
1638,88.24007
1639,89.02639
1640,86.93781
1641,81.46734
1642,72.6276
1643,61.262096
1644,57.583687
1645,53.717392
1646,48.007126
1647,42.290905
1648,47.14186
1649,70.69037
1650,75.79622
1651,78.698456
1652,81.03555
1653,82.47082
1654,83.42671
1655,90.07656
1656,96.75448
1657,98.51205
1658,98.510376
1659,98.21217
1660,98.5065
1661,97.91458
1662,97.91536
1663,96.16881
1664,90.32365
1665,80.22339
1666,69.677414
1667,61.482132
1668,59.740856
1669,58.018612
1670,54.452652
1671,60.92372
1672,62.74837
1673,63.686356
1674,68.952034
1675,72.39978
1676,77.443954
1677,93.070656
1678,96.756874
1679,100.0
1680,85.049126
1681,85.29187
1682,88.66012
1683,90.5491
1684,89.7264
1685,91.35301
1686,92.45313
1687,92.18155
1688,85.864296
1689,77.02235
1690,67.01645
1691,59.11522
1692,50.432095
1693,46.815212
1694,45.162373
1695,45.803326
1696,67.28814
1697,75.43737
1698,92.34239
1699,98.530655
1700,94.81154
1701,88.264725
1702,86.66766
1703,87.68583
1704,82.67182
1705,86.17162
1706,89.01868
1707,91.42387
1708,92.51537
1709,91.14946
1710,90.87248
1711,89.26756
1712,82.1576
1713,75.02881
1714,67.58634
1715,59.53881
1716,54.280907
1717,45.101906
1718,39.24147
1719,37.849766
1720,40.073917
1721,55.400993
1722,53.000183
1723,67.23875
1724,68.45959
1725,78.42004
1726,80.77342
1727,83.43793
1728,81.72509
1729,84.16003
1730,86.93326
1731,88.21531
1732,88.995415
1733,90.85948
1734,92.2208
1735,91.67522
1736,84.35452
1737,73.21217
1738,63.311684
1739,58.018612
1740,59.087288
1741,52.056873
1742,48.84663
1743,46.335842
1744,46.14159
1745,51.622223
1746,68.39094
1747,56.255207
1748,66.89683
1749,70.276306
1750,74.58557
1751,79.587814
1752,82.6777
1753,84.90116
1754,87.70732
1755,88.481094
1756,89.26377
1757,89.52172
1758,90.0519
1759,89.25239
1760,82.38774
1761,72.15486
1762,63.109005
1763,57.924255
1764,57.526043
1765,53.17434
1766,49.948093
1767,48.484936
1768,49.329567
1769,50.973026
1770,57.971752
1771,61.55848
1772,70.23942
1773,76.77526
1774,82.23559
1775,86.2098
1776,88.537506
1777,89.30905
1778,89.28645
1779,88.98379
1780,89.495735
1781,86.34593
1782,86.35541
1783,84.56174
1784,83.31923
1785,77.15073
1786,68.01636
1787,64.21557
1788,52.528248
1789,49.9469
1790,50.26621
1791,48.433044
1792,51.91367
1793,55.29986
1794,60.369766
1795,66.25025
1796,68.164894
1797,66.94024
1798,69.32497
1799,73.29859
1800,97.34056
1801,97.62773
1802,97.918434
1803,97.91458
1804,97.62421
1805,97.62421
1806,97.61892
1807,97.03476
1808,90.3202
1809,79.30084
1810,66.160995
1811,56.283375
1812,52.211197
1813,48.956997
1814,45.62425
1815,44.20678
1816,42.868332
1817,47.58179
1818,51.698692
1819,69.54596
1820,73.9793
1821,75.308
1822,76.21269
1823,77.09839
1824,76.43676
1825,79.90133
1826,83.80266
1827,86.85573
1828,88.96049
1829,89.77005
1830,86.874016
1831,85.84964
1832,80.19039
1833,70.47122
1834,60.91251
1835,53.956223
1836,56.359066
1837,52.29542
1838,49.8089
1839,49.145157
1840,49.544643
1841,51.258896
1842,52.232635
1843,61.13921
1844,69.61177
1845,72.726814
1846,74.25406
1847,79.048065
1848,77.93469
1849,81.22883
1850,83.90192
1851,85.655174
1852,87.9671
1853,89.80978
1854,90.879
1855,89.54021
1856,82.16964
1857,73.69864
1858,64.875786
1859,59.52737
1860,54.90768
1861,51.216934
1862,43.428253
1863,69.39786
1864,85.94706
1865,73.56041
1866,74.16974
1867,79.79403
1868,83.147804
1869,90.10462
1870,92.83523
1871,92.550224
